technology,vehicle_type,category,year,region,range
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2023,U.S. & Canada,1287.4752
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2023,Europe,1287
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2021,Europe,804.672
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2021,U.S. & Canada,804.672
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2021,China,804.672
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2021,Australia,804.672
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2023,U.S. & Canada,804.672
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2023,Europe,804.672
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2022,U.S. & Canada,804.672
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2022,Europe,800
Electric ⚡️,Other,HFT,2020,Europe,760
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2020,Europe,760
Electric ⚡️,Transit Bus 🚌,Bus,2020,China,675
Electric ⚡️,Transit Bus 🚌,Bus,2019,China,666
Electric ⚡️,Transit Bus 🚌,Bus,2020,China,655
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2022,Australia,650
Electric ⚡️,Transit Bus 🚌,Bus,2020,China,635
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2020,Europe,570
Fuel Cell ⛽,Truck Heavy Duty 🚛,MFT,2021,Europe,563.2704
Fuel Cell ⛽,Truck Heavy Duty 🚛,MFT,2021,U.S. & Canada,563.2704
Fuel Cell ⛽,Truck Heavy Duty 🚛,MFT,2021,Australia,563.2704
Fuel Cell ⛽,Truck Heavy Duty 🚛,MFT,2021,China,563.2704
Fuel Cell ⛽,Transit Bus 🚌,Bus,2020,U.S. & Canada,563.2704
Fuel Cell ⛽,Transit Bus 🚌,Bus,2020,U.S. & Canada,563.2704
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2021,U.S. & Canada,563.2704
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2021,Europe,563.2704
Electric ⚡️,Transit Bus 🚌,Bus,2019,China,550
Electric ⚡️,Transit Bus 🚌,Bus,2020,China,540
Electric ⚡️,Transit Bus 🚌,Bus,2020,China,540
Electric ⚡️,Transit Bus 🚌,Bus,2020,U.S. & Canada,529.474176
Electric ⚡️,Transit Bus 🚌,Bus,2020,U.S. & Canada,529.474176
Electric ⚡️,Transit Bus 🚌,Bus,2019,China,520
Electric ⚡️,Transit Bus 🚌,Bus,2019,China,505
Fuel Cell ⛽,Transit Bus 🚌,Bus,2019,China,500
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2019,Europe,500
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2019,Europe,500
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2019,Europe,500
Electric ⚡️,Other,HFT,2019,Europe,500
Electric ⚡️,Truck Heavy Duty 🚛,HFT,2019,Europe,500
Electric ⚡️,Transit Bus 🚌,Bus,2021,Europe,500
Fuel Cell ⛽,Transit Bus 🚌,Bus,2019,China,500
Electric ⚡️,Transit Bus 🚌,Bus,2021,U.S. & Canada,498.89664
Fuel Cell ⛽,Truck Heavy Duty 🚛,HFT,2023,U.S. & Canada,482.8032
Electric ⚡️,Transit Bus 🚌,Bus,2019,China,480
Electric ⚡️,Transit Bus 🚌,Bus,2020,China,480
Electric ⚡️,Transit Bus 🚌,Bus,2019,China,477
Electric ⚡️,Transit Bus 🚌,Bus,2021,U.S. & Canada,469.928448
Electric ⚡️,Transit Bus 🚌,Bus,2019,China,469
Electric ⚡️,Transit Bus 🚌,Bus,2019,China,465
